ZCTA5,MEMI,CBSA,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
735,1,41980,113,49,3653605,3653605,13730,7749,62204914,60362550,2478905,1073552,5223033344,4117856690,0.82,0.63,5.87,6.05,0,0,0.07,0.09
736,1,41980,51532,22315,142781219,142701655,51532,22315,142781219,142701655,2478905,1073552,5223033344,4117856690,100,100,100,100,2.08,2.08,2.73,3.47
738,1,21940,34922,18383,154956494,76243980,34922,18383,154956494,76243980,70692,38114,804692323,219399913,100,100,100,100,49.4,48.23,19.26,34.75
739,1,41980,39678,15565,82906554,81792808,39678,15565,82906554,81792808,2478905,1073552,5223033344,4117856690,100,100,100,100,1.6,1.45,1.59,1.99
740,1,21940,2071,1008,1144309,1103423,2071,1008,1144309,1103423,70692,38114,804692323,219399913,100,100,100,100,2.93,2.64,0.14,0.5
741,1,41980,4971,2196,8913858,6121151,4971,2196,8913858,6121151,2478905,1073552,5223033344,4117856690,100,100,100,100,0.2,0.2,0.17,0.15
745,1,41980,55062,24529,139831239,133676216,55062,24529,139831239,133676216,2478905,1073552,5223033344,4117856690,100,100,100,100,2.22,2.28,2.68,3.25
751,2,17620,23129,10808,151042738,121664561,23129,10808,151042738,121664561,71590,31096,497661896,381705801,100,100,100,100,32.31,34.76,30.35,31.87
754,1,41980,40828,17146,132406042,132164302,40828,17146,132406042,132164302,2478905,1073552,5223033344,4117856690,100,100,100,100,1.65,1.6,2.54,3.21
757,2,42180,23263,9571,82856806,77246859,23263,9571,82856806,77246859,23274,9575,199284809,88119917,100,100,100,100,99.95,99.96,41.58,87.66
766,1,38660,26073,9710,95921197,92298550,26488,9947,107440784,103701762,243147,99359,874803803,545648108,98.43,97.62,89.28,89,10.72,9.77,10.96,16.92
766,1,41980,415,237,11519587,11403212,26488,9947,107440784,103701762,2478905,1073552,5223033344,4117856690,1.57,2.38,10.72,11,0.02,0.02,0.22,0.28
767,1,41980,38019,15831,150306377,143501366,38019,15831,150306377,143501366,2478905,1073552,5223033344,4117856690,100,100,100,100,1.53,1.47,2.88,3.48
769,2,17620,40248,16612,198207392,198168393,40248,16612,198207392,198168393,71590,31096,497661896,381705801,100,100,100,100,56.22,53.42,39.83,51.92
771,1,41980,38394,16142,87623561,87591047,38394,16142,87623561,87591047,2478905,1073552,5223033344,4117856690,100,100,100,100,1.55,1.5,1.68,2.13
772,1,41980,23105,10211,51615236,37975532,23105,10211,51615236,37975532,2478905,1073552,5223033344,4117856690,100,100,100,100,0.93,0.95,0.99,0.92
773,1,21940,20068,10968,65536492,62964008,20068,10968,65536492,62964008,70692,38114,804692323,219399913,100,100,100,100,28.39,28.78,8.14,28.7
777,1,41980,40684,16867,69172142,68844419,40684,16867,69172142,68844419,2478905,1073552,5223033344,4117856690,100,100,100,100,1.64,1.57,1.32,1.67
778,1,41980,45429,18127,77893209,76776403,45429,18127,77893209,76776403,2478905,1073552,5223033344,4117856690,100,100,100,100,1.83,1.69,1.49,1.86
780,1,38660,13800,5295,52870908,52032587,13800,5295,52870908,52032587,243147,99359,874803803,545648108,100,100,100,100,5.68,5.33,6.04,9.54
782,1,41980,19304,7535,69328497,69008763,19304,7535,69328497,69008763,2478905,1073552,5223033344,4117856690,100,100,100,100,0.78,0.7,1.33,1.68
783,1,41980,36557,13798,108398610,108382318,36557,13798,108398610,108382318,2478905,1073552,5223033344,4117856690,100,100,100,100,1.47,1.29,2.08,2.63
784,1,25020,44637,19159,160166753,143887987,44637,19159,160166753,143887987,84214,37946,564011616,328148208,100,100,100,100,53,50.49,28.4,43.85
786,1,41980,357,145,666250,666250,357,145,666250,666250,2478905,1073552,5223033344,4117856690,100,100,100,100,0.01,0.01,0.01,0.02
791,1,41980,53417,25871,98579613,95711037,53417,25871,98579613,95711037,2478905,1073552,5223033344,4117856690,100,100,100,100,2.15,2.41,1.89,2.32
794,2,17620,88,30,565071,565071,30585,11502,91497608,91419799,71590,31096,497661896,381705801,0.29,0.26,0.62,0.62,0.12,0.1,0.11,0.15
794,1,41980,30497,11472,90932537,90854728,30585,11502,91497608,91419799,2478905,1073552,5223033344,4117856690,99.71,99.74,99.38,99.38,1.23,1.07,1.74,2.21
795,1,38660,48736,19196,120770024,119811901,48736,19196,120770024,119811901,243147,99359,874803803,545648108,100,100,100,100,20.04,19.32,13.81,21.96
901,1,41980,7080,4990,2564639,2534091,7080,4990,2564639,2534091,2478905,1073552,5223033344,4117856690,100,100,100,100,0.29,0.46,0.05,0.06
906,1,41980,4,168,8247,8247,4,168,8247,8247,2478905,1073552,5223033344,4117856690,100,100,100,100,0,0.02,0,0
907,1,41980,17458,13224,3480368,3132947,17458,13224,3480368,3132947,2478905,1073552,5223033344,4117856690,100,100,100,100,0.7,1.23,0.07,0.08
909,1,41980,6230,3805,1624902,1575598,6230,3805,1624902,1575598,2478905,1073552,5223033344,4117856690,100,100,100,100,0.25,0.35,0.03,0.04
911,1,41980,8623,6096,1245504,1245504,8623,6096,1245504,1245504,2478905,1073552,5223033344,4117856690,100,100,100,100,0.35,0.57,0.02,0.03
912,1,41980,6801,3884,854044,854044,6801,3884,854044,854044,2478905,1073552,5223033344,4117856690,100,100,100,100,0.27,0.36,0.02,0.02
913,1,41980,9312,4065,843188,843188,9312,4065,843188,843188,2478905,1073552,5223033344,4117856690,100,100,100,100,0.38,0.38,0.02,0.02
915,1,41980,32820,16538,4422364,3601480,32820,16538,4422364,3601480,2478905,1073552,5223033344,4117856690,100,100,100,100,1.32,1.54,0.08,0.09
917,1,41980,21053,12348,3407008,3360017,21053,12348,3407008,3360017,2478905,1073552,5223033344,4117856690,100,100,100,100,0.85,1.15,0.07,0.08
918,1,41980,18056,10850,5621803,5520556,18056,10850,5621803,5520556,2478905,1073552,5223033344,4117856690,100,100,100,100,0.73,1.01,0.11,0.13
920,1,41980,17893,9322,7467316,7331380,17893,9322,7467316,7331380,2478905,1073552,5223033344,4117856690,100,100,100,100,0.72,0.87,0.14,0.18
921,1,41980,37763,17728,6931388,6931388,37763,17728,6931388,6931388,2478905,1073552,5223033344,4117856690,100,100,100,100,1.52,1.65,0.13,0.17
923,1,41980,29086,13969,5291289,5283986,29086,13969,5291289,5283986,2478905,1073552,5223033344,4117856690,100,100,100,100,1.17,1.3,0.1,0.13
924,1,41980,56691,24971,12145105,12143485,56691,24971,12145105,12143485,2478905,1073552,5223033344,4117856690,100,100,100,100,2.29,2.33,0.23,0.29
925,1,41980,8696,5413,1158082,1158082,8696,5413,1158082,1158082,2478905,1073552,5223033344,4117856690,100,100,100,100,0.35,0.5,0.02,0.03
926,1,41980,108862,47317,63627467,62575083,108862,47317,63627467,62575083,2478905,1073552,5223033344,4117856690,100,100,100,100,4.39,4.41,1.22,1.52
927,1,41980,14936,7893,6809996,6804165,14936,7893,6809996,6804165,2478905,1073552,5223033344,4117856690,100,100,100,100,0.6,0.74,0.13,0.17
934,1,41980,288,140,1967214,1940428,288,140,1967214,1940428,2478905,1073552,5223033344,4117856690,100,100,100,100,0.01,0.01,0.04,0.05
936,1,41980,681,4,417955,417955,681,4,417955,417955,2478905,1073552,5223033344,4117856690,100,100,100,100,0.03,0,0.01,0.01
949,1,41980,82278,33340,47734641,45604190,82278,33340,47734641,45604190,2478905,1073552,5223033344,4117856690,100,100,100,100,3.32,3.11,0.91,1.11
950,1,41980,9,5,8194331,6204986,9,5,8194331,6204986,2478905,1073552,5223033344,4117856690,100,100,100,100,0,0,0.16,0.15
951,1,41980,35,19,1105181,1075640,35,19,1105181,1075640,2478905,1073552,5223033344,4117856690,100,100,100,100,0,0,0.02,0.03
952,1,41980,10008,4169,3207681,3207681,10008,4169,3207681,3207681,2478905,1073552,5223033344,4117856690,100,100,100,100,0.4,0.39,0.06,0.08
953,1,41980,73014,26609,70510220,69144842,73014,26609,70510220,69144842,2478905,1073552,5223033344,4117856690,100,100,100,100,2.95,2.48,1.35,1.68
956,1,41980,79304,32550,68779793,68564483,79304,32550,68779793,68564483,2478905,1073552,5223033344,4117856690,100,100,100,100,3.2,3.03,1.32,1.67
957,1,41980,45680,18275,11967204,11965797,45680,18275,11967204,11965797,2478905,1073552,5223033344,4117856690,100,100,100,100,1.84,1.7,0.23,0.29
959,1,41980,50560,22445,16691457,16609667,50560,22445,16691457,16609667,2478905,1073552,5223033344,4117856690,100,100,100,100,2.04,2.09,0.32,0.4
